Model, MAE, MSE, RMSE, GAME4, GAME16, PSNR, SSIM
CSRNet-SHA, 186.2000, 149246.9835, 186.2000, 204.4116, 220.8827, 73.9803, 0.9992
CSRNet-SHB, 247.4017, 217196.7866, 247.4017, 254.2402, 266.7474, 73.8462, 0.9988
Bay-SHA, 175.9070, 140367.0320, 175.9070, 188.1852, 202.1346, 74.3366, 0.9993
Bay-SHB, 275.3076, 297323.5756, 275.3076, 282.9954, 291.1137, 73.3489, 0.9986
Bay-QNRF, 196.6076, 176365.3944, 196.6076, 205.9251, 216.9053, 74.2790, 0.9994
DM-Count-SHA, 172.8762, 124597.3363, 172.8762, 184.4058, 196.5917, 72.6847, 0.9989
DM-Count-SHB, 235.0300, 229896.3165, 235.0300, 245.2957, 255.6205, 71.7991, 0.9983
DM-Count-QNRF, 179.6731, 144125.4295, 179.6731, 189.6942, 199.3525, 72.2329, 0.9988
SFANet-SHB, 443.1278, 629170.2575, 443.1278, 446.9606, 452.6296, 72.4622, 0.9983
SASNet-SHA, 190.3799, 169416.1797, 190.3799, 199.9217, 211.1668, 74.0438, 0.9990
SASNet-SHB, 261.6059, 233747.1266, 261.6059, 264.7932, 270.7305, 73.4453, 0.9986
